Faz1Bet,Charlotte Hornets - Atlanta Hawks,Trae Young e LaMelo Ball marcam mais de 3.5 cestas de três pontos cada.
Faz1Bet,Boston Celtics - Brooklyn Nets,"Jayson Tatum marca mais de 20.5 pontos, 4.5 assistências e 4.5 cestas de três pontos."
Faz1Bet,Golden State Warriors - Milwaukee Bucks,Giannis Antetokounmpo faz mais de 27.5 pontos / Mais de 230.5 pontos na partida e Milwaukee Bucks vence
Faz1Bet,LA Clippers - Cleveland Cavaliers,Mais de 230.5 pontos na partida e Cleveland Cavaliers vence
BrasilDaSorte,Nautico PE x América-RN,Ambos os times marcam gol / Chance dupla: América-RN ou Empate
BrasilDaSorte,Nautico PE x América-RN,PARA SAIR 2 OU MAIS GOLS NA PARTIDA
BrasilDaSorte,Londrina-PR x Operário PR,Empate ou Operário PR vence / Ambas as equipes marcam
BrasilDaSorte,Charlotte Hornets x Atlanta Hawks,Para ganhar: Atlanta Hawks / Total de Pontos (Charlotte Hornets) (incl prorrogação): +116.5 pontos / Total de Pontos (Atlanta Hawks) (incl prorrogação): +122.5 pontos
BrasilDaSorte,Boston Celtics x Brooklyn Nets,1º tempo - Resultado: Boston Celtics / Total de Pontos (Boston Celtics) (incl prorrogação): +116.5 pontos / Total de Pontos (Brooklyn Nets) (incl prorrogação): +102.5 pontos
BrasilDaSorte,Real Madrid CF x Arsenal WFC,Tempo Regular - Arsenal WFC / Mais de 0.5 gols no 1º tempo / Mais de 2.5 gols na partida
BrasilDaSorte,Super Sorte do Dia,*Nautico PE x América-RN: Tempo Regular - Nautico PE / *CRB AL x Ferroviário CE: Tempo Regular - Empate / *Real Madrid CF x Arsenal WFC: Tempo Regular - Real Madrid CF / *Bayern de Munique x Olympique de Lyon:Tempo Regular - Bayern de Munique
BrasilDaSorte,Bayern de Munique x Olympique de Lyon,Olympique de Lyon Vence / Gols - Mais/Menos: +2.5 gols / 1º tempo - Gols - Mais/Menos: +0.5 gols
BrasilDaSorte,CS Alagoano AL x EC Bahia,Gols - Mais/Menos: -2.5 gols / Chance dupla: CS Alagoano AL ou Empate
BrasilDaSorte,Ceará SC x Juazeirense BA,Tempo Regular - Ceará SC / Total de gols(Ceará SC): +2.5 gols
BrasilDaSorte,Vitória BA x Sport Clube do Recife,Ambos os times marcam gol / Chance dupla: Sport Clube do Recife ou Empate
BrasilDaSorte,Sousa PB x Fortaleza EC,Tempo Regular - Fortaleza EC / Total de gols(Fortaleza EC): +2.5 gols
BrasilDaSorte,Super Sorte do Dia,*Ceará x Juazeirense BA: Total de gols(Ceará SC): +2.5 gols / *CS Alagoano AL x EC Bahia: Total de gols(EC Bahia): +2.5 gols / *Sousa PB x Fortaleza EC: Total de gols(Fortaleza EC): +2.5 gols / *EC Vitória BA x Sport Clube do Recife: Tempo Regular - Sport Recife
BrasilDaSorte,CRB AL x Ferroviário AC CE,Mais de 2.5 gols na partida / Mais de 9.5 escanteios no jogo
BETESPORTE,SUPERodd,Thiago Monteiro e Dutra Da Silva para Vencerem seus jogos Sem perder um Set
BETESPORTE,SUPERodd,Náutico e Londrina para vencerem seus jogos
BETESPORTE,SUPERodd,"NBA: Nets, Hawks e Cavaliers para vencerem seus jogos"
BETESPORTE,SUPERodd,NBA: Warriors para vencer o Bucks e Stephen Curry para marcar + de 30 Pontos
BETESPORTE,SUPERodd,NBA: Bucks para vencer o Warriors e Giannis Antetokounmpo para marcar + de 35 Pontos
SportingBet,Terça-feira,Real Madrid (F) e Bayern de Munique (F) vencem - Múltiplas Melhoradas
SportingBet,Real Madrid (Feminino) - Arsenal (Feminino),"Arsenal (F) vence e a partida tem mais de 2,5 gols"
SportingBet,Real Madrid (Feminino) - Arsenal (Feminino),Sim - Real Madrid (Feminino) vence sem levar gol
SportingBet,Real Madrid (Feminino) - Arsenal (Feminino),"Arsenal (F) vence, ambas as equipes marcam e +10.5 escanteios - Criar Aposta - Cotas Aumentadas"
SportingBet,Bayern de Munique (Feminino) - Lyon (Feminino),Lyon (F) vence e ambas as equipes marcam
SportingBet,Bayern de Munique (Feminino) - Lyon (Feminino),"Lyon (F) vence, ambas equipes marcam e +3.5 gols - Criar Aposta - Cotas Aumentadas"
SportingBet,Bayern de Munique (Feminino) - Lyon (Feminino),"Bayern de Munique (F) vence e a partida tem mais de 2,5 gols"
SportingBet,Rotherham United - Wycombe Wanderers FC,Richard Kone - 1º marcador
BetFast,Boston Celtics - Brooklyn Nets,Derrick White e Jayson Tatum marcam mais de 3.5 cestas de três pontos cada.
BetFast,Golden State Warriors - Milwaukee Bucks,Bucks vence e Giannis Antetokounmpo faz um triplo-duplo.
BetFast,Golden State Warriors - Milwaukee Bucks,Warriors vence e Stephen Curry marca mais de 29.5 pontos e faz mais de 4.5 cestas de três pontos.
BetFast,Charlotte Hornets - Atlanta Hawks,"Hawks vence, ambos os times marcam mais de 109.5 pontos cada e Trae Young faz um duplo-duplo."
BetFast,Charlotte Hornets - Atlanta Hawks,Trae Young e LaMelo Ball marcam mais de 2.5 cestas de três pontos cada / Atlanta Hawks Vence
BetFast,LA Clippers - Cleveland Cavaliers,James Harden marca mais de 19.5 pontos e registra mais de 4.5 assistências / Donovan Mitchell marca mais de 19.5 pontos e registra mais de 4.5 assistências.
BrasilDaSorte,River Plate (Arg) x Ciudad de Bolivar,Total de gols(CA River Plate (Arg)): +2.5 gols / CA River Plate (Arg) vence ambos os tempos: SIM / 2º tempo - Total de gols(Club Ciudad de Bolivar): -0.5 gols
BrasilDaSorte,Super Sorte do Dia,*Itália x Alemanha: Tempo Regular - Itália / *Países Baixos x Espanha: Tempo Regular - Países Baixos / *Croácia x França: Tempo Regular - Croácia / *Dinamarca x Portugal: Multi resultados: 0x1 ou 0x2 ou 0x3
SportingBet,Náutico - América-RN,Clube Náutico vence e ambas as equipes marcam
SportingBet,Londrina - Operário-PR,"Operário vence e a partida tem mais de 2,5 gols"
SportingBet,Quarta-feira,Barcelona (F) e Chelsea (F) vencem - Múltiplas Melhoradas
SportingBet,Wolfsburg (Feminino) - Barcelona (Feminino),Barcelona (F) vence o Primeiro tempo e a Partida
SportingBet,Manchester City (Feminino) - Chelsea FC (Feminino),Chelsea (F) vence e ambas as equipes marcam
SportingBet,Ceará - Juazeirense,"Ceará vence e a partida tem mais de 2,5 gols"
SportingBet,CSA - Bahia,Bahia vence e ambas as equipes marcam
SportingBet,Athletico-PR - Maringa FC PR,Athletico-PR vence o Primeiro tempo e a Partida
SportingBet,Sousa - Fortaleza,"Mais de 3,5 - Total de Gols"
BrasilDaSorte,Ceará SC x SD Juazeirense BA,Tempo Regular - Ceará SC Vence
SportingBet,NBA - Cotas Aumentadas,Atlanta Hawks e Boston Celtics vencem - Cotas Aumentadas
